"","life_expectancy","adult_mortality","infant_deaths","alcohol","hepatitis_b","measles","bmi","under_five_deaths","polio","total_expenditure","diphtheria","hiv_aids","thinness_1_19_years","thinness_5_9_years","income_composition_of_resources","schooling","gdp_per_capita"
"21",59.6,288,3.09104245335832,0.01,94,2.30258509299405,18.7,3.46573590279973,94,2.14476100780048,94,0.7,7.3,7.2,0.406,10.6,-8.17769800225466
"22",73.3,114,0,0.01,96,0,31.3,0,93,1.7509374747078,93,0.2,6.6,6.6,0.646,13.5,-5.19515755808365
"23",68.7,174,2.39789527279837,0.01,89,0,19.6,2.56494935746154,87,1.89911798754855,89,0.2,1.9,1.9,0.558,10.9,-9.49856636505079
"24",57.3,357,3.8286413964891,0.01,84,7.50108212425987,29,4.23410650459726,83,1.62924053973028,84,3.5,5.6,5.5,0.514,10.4,-9.81735166414013
"25",82.2,64,1.09861228866811,8.1,55,5.27811465923052,67,1.09861228866811,91,0.896088024556636,91,0.1,0.6,0.5,0.919,16.3,-4.41595880792583
"26",52.5,397,2.77258872223978,0.01,47,5.01727983681492,22.7,3.09104245335832,47,1.64865862558738,47,4.4,8.2,8.2,0.347,7.1,-4.8713121890862
"27",53.1,356,3.85014760171006,0.01,46,6.03787091992214,19.1,4.35670882668959,52,1.53039470509365,46,2.8,8.5,8.4,0.394,7.3,-5.25870912063086
"28",85,82,1.09861228866811,7.16,97,2.30258509299405,63.8,1.09861228866811,96,2.17361471169709,96,0.1,0.8,0.8,0.845,16.3,-7.17087910235925
"29",76.1,85,5.06259503302697,5.78,99,10.6540070129539,32.9,5.21493575760899,99,1.87946504964716,99,0.1,3.6,2.9,0.734,13.5,-5.06103933673309
"30",74.8,143,2.39789527279837,4.38,91,0.693147180559945,57.9,2.56494935746154,91,2.10413415427021,91,0.1,2.1,1.9,0.724,13.6,-11.2229503012635
"31",63.5,227,0.693147180559945,0.01,91,0,24.2,1.09861228866811,92,2.04769284336526,91,0.8,6.7,6.5,0.498,11.1,-6.97392597128872
"32",79.6,95,0.693147180559945,3.45,92,0,6.5,0.693147180559945,92,2.33311429802887,92,0.1,1.7,1.7,0.775,14.2,-6.05341799463054
"33",78,95,0,12.14,94,5.33271879326537,63.7,0,94,2.17475172148416,94,0.1,1.5,1.4,0.823,15.3,-1.29704819518343
"34",85,52,0,0.01,97,0,6.3,0,97,2.12465388450138,97,0.1,1,1,0.854,14.3,-3.89700083245823
"35",63.5,241,0.693147180559945,0.38,84,3.87120101090789,35,0.693147180559945,84,0.943905898907129,84,2.1,5.6,5.4,0.47,6.3,-6.21065905733016
"36",73.9,152,1.94591014905531,5.92,81,0,58.9,2.07944154167984,87,1.68268837417369,85,0.3,3.3,3.2,0.718,13.2,-5.46503293061219
"37",76.2,118,1.94591014905531,3.82,78,0,54.2,2.07944154167984,84,2.31845844215034,78,0.1,1.2,1.1,0.739,14,-10.1583350776908
"38",73.5,178,1.09861228866811,2.52,91,0,56.1,1.09861228866811,92,2.05027016437956,91,0.2,1.6,1.5,0.678,13.2,-7.33270430644457
"39",58.2,32,1.38629436111989,0.01,16,7.13169851046691,24.5,1.6094379124341,17,1.56861591791385,16,4.2,8.4,8.3,0.582,9.2,-6.77124251611171
"40",64.7,255,1.79175946922805,0.01,95,5.29330482472449,18.6,2.07944154167984,95,1.46787434811231,95,0.4,8.4,8.2,0.418,5,-6.64356045064257
"41",77.6,119,0,0.01,91,1.6094379124341,59.9,0,93,1.99877363861238,93,0.1,1.9,1.9,0.863,16.5,-4.30560372374152
"42",64.8,225,4.91998092582813,0.01,77,9.78391541739528,17.6,5.27299955856375,75,1.77155676191054,77,0.6,1.4,1.2,0.441,8.4,-9.64685907764723
"43",69.9,188,0,0.01,99,0,62.7,0,99,1.70292825552144,99,0.1,4,3.7,0.734,15.3,-5.19993927794516
"44",82.4,78,1.09861228866811,11.5,86,5.06259503302697,62.5,1.38629436111989,98,2.52892353520477,98,0.1,0.7,0.6,0.894,16.3,-5.20619981892424
"45",66,229,1.09861228866811,0.01,8,3.3322045101752,36.3,1.38629436111989,79,1.49065437644413,8,2.7,6.1,5.9,0.694,12.6,-3.26360625190798
"46",74.4,129,0.693147180559945,6.13,94,6.06842558824411,56.2,0.693147180559945,91,2.13060982825424,94,0.1,2.7,2.8,0.768,13.9,-2.28987422567422
"47",81,68,1.09861228866811,11.03,88,7.80994708647679,62.3,1.38629436111989,94,2.50959926237837,95,0.1,1.1,1.1,0.924,17.1,-7.59276841520338
"48",62.4,249,3.63758615972639,0.01,88,3.17805383034795,28.6,3.97029191355212,88,1.51732262352629,88,0.7,6.2,6.1,0.575,11.4,-9.91664498501395
"49",81,72,0,7.53,96,0.693147180559945,66.5,0,99,2.28238238567653,99,0.1,0.8,0.7,0.865,17.2,-6.88127804513231
"50",71.9,186,2.39789527279837,1.88,74,0,5.6,2.56494935746154,9,1.97408102602201,74,0.4,1.2,1.2,0.637,10.7,-8.32899484758628
"51",59,284,3.29583686600433,0.01,54,5.4971682252932,23.3,3.71357206670431,42,1.89311196348834,54,0.5,7.3,7.3,0.414,8.8,-7.75329589061603
"52",58.9,275,1.6094379124341,0.01,87,5.03695260241363,26.3,1.94591014905531,87,1.88555334851442,87,3.2,7.1,7,0.421,9.2,-5.69517014195487
"53",66.2,215,0,7.64,95,0,46.7,0.693147180559945,92,1.83258146374831,95,0.3,5.5,5.3,0.638,10.3,-5.22456284855512
"54",63.5,24,2.70805020110221,0.01,6,0,49.9,2.94443897916644,56,2.14710019015365,6,0.5,3.9,3.9,0.49,9.1,-5.34772852500888
"55",74.6,147,1.38629436111989,2.87,97,0,51,1.6094379124341,97,2.27418561847235,97,0.3,2.1,2.1,0.623,11.2,-5.95464698813127
"56",68.3,181,6.81454289725996,3.07,87,11.4118667942063,18.7,7.00397413672268,86,1.73871024813824,87,0.2,26.7,27.3,0.615,11.6,-6.7627221293507
"57",69.1,176,4.74493212836325,0.09,78,9.62245002280302,27.4,4.91998092582813,8,1.34807314829969,78,0.3,1.4,1.2,0.686,12.9,-11.2565205103077
"58",68.9,182,3.49650756146648,0.01,56,7.26822302115957,59.1,3.66356164612965,63,1.87793716546911,58,0.1,5.3,5.1,0.649,10.1,-8.8902030552443
"59",81.4,64,0,10.75,95,1.6094379124341,62.8,0,95,2.17247640764703,95,0.1,0.3,0.2,0.92,18.6,-6.55363536480402
"60",82.5,58,0,2.62,96,4.39444915467244,64.9,0.693147180559945,95,2.17588743994809,95,0.1,1.2,1.1,0.898,16,1.45000587133138
"61",82.7,56,0.693147180559945,7.56,93,5.07517381523383,63.6,1.09861228866811,93,2.32727770558442,93,0.1,0.6,0.6,0.881,16.3,-7.56487040723691
"62",76.2,125,0.693147180559945,3.83,91,0,54.2,0.693147180559945,91,1.85002837735203,91,0.5,1.8,1.7,0.729,12.8,-6.3601283048077
"63",74.1,112,1.6094379124341,0.41,99,0,65.6,1.6094379124341,99,2.13416644136908,99,0.1,4,4,0.741,13.1,-7.51912196662771
"64",72,198,1.6094379124341,6.29,98,6.26720054854136,53.1,1.79175946922805,98,1.67896397508271,98,0.1,2.4,2.5,0.793,15,-11.6051703173041
"65",63.4,249,4.00733318523247,0.01,89,4.56434819146784,22,4.33073334028633,83,1.90508815453506,89,2.8,7.8,7.6,0.55,11.1,-10.4628336391412
"66",66.3,198,0,0.01,82,0,77.6,0,8,0.792992515529661,78,0.1,0.1,0.1,0.586,11.9,-2.06629205662175
"67",74.6,153,0,0.01,94,0,61.2,0,95,1.92861865194525,95,0.1,2.2,2.1,0.828,16,-4.97464867074377
"68",74.9,98,0.693147180559945,1.32,81,3.68887945411394,66.1,0.693147180559945,75,2.00012773496011,81,0.1,4.9,4.9,0.763,13.3,-8.84093787698406
"69",53.7,484,1.6094379124341,0.01,93,0,32.6,1.94591014905531,9,0.963174317773006,93,9.3,5.5,5.3,0.495,10.7,-9.43430433611726
"70",61.4,259,2.19722457733622,0.01,52,6.96696713861398,27.3,2.484906649788,52,0.8754687373539,52,0.9,6.5,6.4,0.427,9.9,-9.20496534499015
"71",73.6,165,0,15.19,94,3.93182563272433,62.4,0,93,2.02154756326093,93,0.1,2.6,2.6,0.846,16.5,-0.727157816700015
"72",82,63,0,11.12,94,0,61.3,0,99,2.07191327525904,99,0.1,1,0.9,0.896,13.9,-3.86024602686198
"73",65.5,22,3.36729582998647,0.01,69,1.38629436111989,2.5,3.66356164612965,71,1.48160454092422,69,0.3,7.1,7.1,0.511,10.3,-10.9664451183987
"74",58.3,365,3.29583686600433,0.01,88,0,19.6,3.66356164612965,88,2.51608226725645,88,4.8,6.4,6.2,0.473,10.8,-8.48586823900513
"75",75,123,1.6094379124341,0.52,99,7.18462915271731,4.6,1.6094379124341,99,1.64287268852034,99,0.1,7.5,7.3,0.787,13.1,-5.95602758977976
"76",78.5,61,0,0.01,99,0,27.4,0,99,2.68988623047454,99,0.1,13.6,13.6,0.701,12.7,-1.76741149027797
"77",58.2,266,3.97029191355212,0.01,64,5.37527840768417,23.8,4.44265125649032,66,2.06178660644112,64,1.5,7.7,7.5,0.438,8.4,-7.78062502418469
"78",81.7,54,0,8.49,95,1.09861228866811,69.6,0,97,2.37490575457367,97,0.1,0.8,0.8,0.853,14.6,-2.89763083425254
"79",63.1,25,2.19722457733622,0.01,73,0.693147180559945,3.8,2.56494935746154,67,1.56234630490025,73,0.9,7.8,7.5,0.513,8.5,-8.19171058614839
"80",74.6,146,0,0.01,97,0,33.3,0,98,1.75958057086382,97,0.1,6.9,6.8,0.779,15.2,-2.61353045683545
"81",76.7,122,3.43398720448515,5.26,82,0,63.5,3.58351893845611,87,1.98787434815435,87,0.1,1.5,1.5,0.758,13.3,-7.227651463301
"82",68.8,222,0.693147180559945,0.01,99,9.92132747066446,52.7,0.693147180559945,99,1.74571553072665,99,0.1,2.2,2.3,0.733,14.8,-6.62638797995798
"83",76.1,16,0,0.01,82,0,61.8,0,89,2.00417905717929,89,0.1,1.8,1.8,0.804,15.1,-4.56738178044251
"84",74.3,95,2.89037175789616,0.43,99,2.89037175789616,58.5,3.04452243772342,99,1.93296963777958,99,0.1,6.4,6.2,0.645,12.1,-7.10937560663179
"85",57.6,355,4.11087386417331,0.01,8,4.38202663467388,22.6,4.40671924726425,8,2.07693841146172,8,3.9,3.6,3.5,0.414,9.1,-6.27887792678186
"86",66.6,199,3.68887945411394,0.01,89,1.94591014905531,23.8,3.93182563272433,89,1.18784342239605,89,0.3,12.8,13,0.552,9.1,-8.38697254602103
"87",65.8,248,1.09861228866811,0.01,92,5.36129216570943,35.7,1.38629436111989,92,2.29556047805708,92,2.1,8.2,8.1,0.637,11.7,-6.23827267159597
"88",69.2,165,2.89037175789616,0.01,91,7.37775890822787,19.1,3.09104245335832,9,1.91692261218206,91,0.1,15.7,16.1,0.555,12.2,-10.5591576502819
"89",81.9,57,0.693147180559945,0.01,94,2.07944154167984,62.1,0.693147180559945,95,1.06471073699243,95,0.1,1,0.9,0.923,18.1,-5.94660437416576
"90",74.8,145,1.09861228866811,3.55,98,0,54,1.09861228866811,99,2.34180580614733,98,0.1,1.8,1.7,0.642,11.7,-5.44046667697381
"91",61.8,22,3.91202300542815,0.01,65,8.94819608331224,19.3,4.47733681447821,65,1.91985947185537,65,0.4,9.6,9.4,0.351,5.4,-10.9227628700767
"92",54.5,344,6.18208490671663,0.01,49,9.42738536482852,25.4,6.61740297797448,49,1.54115907168081,49,3.7,9.8,9.7,0.525,10,-11.1307517623448
"93",66.4,161,5.8664680569333,0.01,72,5.95842469302978,25.4,6.07304453410041,72,1.28370777234479,72,0.1,19.2,19.6,0.548,8.1,-9.49040825202922
"94",77.8,118,0.693147180559945,6.74,73,0,57.8,0.693147180559945,72,2.23001440015921,73,0.1,1.9,1.8,0.785,13,-5.71109465022356
"95",62.9,275,2.39789527279837,0.01,67,3.66356164612965,48.6,2.56494935746154,74,1.66013102674962,73,0.6,1.3,1.3,0.515,10,-8.1756240637454
"96",74,146,1.09861228866811,0.01,93,0,5.2,1.38629436111989,89,2.38047163165112,93,0.2,2,1.9,0.692,12.3,-9.66974167397884
"97",75.5,123,2.19722457733622,0.01,9,1.6094379124341,55.6,2.39789527279837,88,1.86717610851281,9,0.1,1.1,1.1,0.737,13.4,-13.1130067206966
"98",68.5,211,3.97029191355212,4.52,6,6.42971947803914,25.4,4.20469261939097,79,1.74221902366792,6,0.1,1,9.7,0.679,11.7,-8.31152817655122
"99",77.5,117,1.09861228866811,10.71,96,0,61.7,1.09861228866811,92,1.99470031322475,98,0.1,1.9,2,0.852,16.4,-8.01399002862404
"100",81.1,76,0,9.88,98,2.19722457733622,61.6,0,98,2.35137525716348,98,0.1,0.7,0.5,0.841,16.6,-4.25802213890944
"101",75,133,1.09861228866811,0.01,9,1.6094379124341,6.7,1.09861228866811,89,1.88251383249652,89,0.1,2.5,2.7,0.798,14.7,-7.70158376369724
"102",75,222,2.63905732961526,10.12,97,6.73815249459596,6.5,2.77258872223978,97,2.16332302566054,97,0.1,2.3,2.3,0.805,15,-5.04594314154974
"103",66.1,227,2.484906649788,0.01,98,0.693147180559945,21.4,2.77258872223978,99,2.14358936150359,98,0.4,5.7,5.7,0.493,10.8,-12.0014852117174
"104",74,125,0,0.01,59,0,74.7,0,61,2.10657020906809,66,0.1,0.2,0.1,0.702,12.9,-3.84366018327785
"105",67.5,19,0,0.01,96,0,3.9,0,96,2.2353763433006,96,0.2,5.5,5.3,0.565,11.2,-4.79054541739467
"106",66.7,188,2.99573227355399,0.26,89,4.07753744390572,24.3,3.29583686600433,85,1.73342389221509,89,0.3,9.5,9.3,0.491,9.5,-11.9296814168462
"107",75.6,121,0.693147180559945,9.09,94,5.95064255258773,6,0.693147180559945,95,0.86288995514704,95,0.1,2,2,0.775,14.4,-5.02302618976601
"108",73.2,168,0,0.01,98,0,37.4,0,97,1.4747630091075,97,0.1,5.7,6,0.781,14.1,-4.10566044677736
"109",51,413,3.13549421592915,0.01,86,6.41017488196617,24.4,3.43398720448515,86,2.55722731136763,86,0.5,7.4,7.3,0.431,9.5,-7.11622544361073
"110",69.2,177,0,0.01,98,0,5.5,0,99,1.87180217690159,98,0.1,1.1,1.2,0.514,9.6,-5.72226398169553
"111",62.9,328,3.76120011569356,7.38,75,2.89037175789616,51.1,3.97029191355212,75,2.28238238567653,75,3.6,4.4,5.3,0.665,13,-6.8620459163835
"112",82.8,56,0.693147180559945,0.01,97,4.75359019110636,66.6,0.693147180559945,97,2.33214389523559,97,0.1,0.6,0.5,0.882,17.7,-7.50021994248329
"113",74.9,138,1.38629436111989,2.37,99,7.35819375273303,23.4,1.38629436111989,99,1.50407739677627,99,0.1,15.1,15,0.764,14,0.259531070155128
"114",71.6,176,0,6.32,89,0,58.3,0,89,1.90061387414014,89,0.4,3.5,3.5,0.723,12.7,-1.83637260146492
"115",58.9,373,1.09861228866811,0.01,9,0,32.3,1.38629436111989,84,2.32727770558442,9,7.1,4,4.1,0.541,11.4,-3.7388843969621
"116",82.4,53,0,7.3,67,3.13549421592915,59.5,0,98,2.55955019278377,98,0.1,1.5,1.4,0.909,15.9,-7.46992388921448
"117",64.5,293,1.94591014905531,0.01,41,3.8286413964891,57.1,2.19722457733622,5,1.44691898293633,41,0.1,6.3,6.1,0.553,9,-8.93580367825785
"118",69.7,161,2.39789527279837,0.01,96,1.38629436111989,4.7,2.484906649788,96,2.06432790386979,96,0.2,3.6,3.7,0.625,11.3,-9.13834929114008
"119",74.9,148,2.19722457733622,6.41,99,5.04342511691925,33.6,2.30258509299405,99,1.63315443905142,99,0.1,7.7,7.7,0.738,13.6,-4.77129967658443
"120",68.3,152,1.09861228866811,0.01,76,3.78418963391826,17.4,1.09861228866811,75,0.908258560176891,76,0.1,1.9,11.1,0.603,12.5,-4.67818557562094
"121",59.9,287,2.63905732961526,0.01,88,3.04452243772342,24.3,3.04452243772342,88,1.83258146374831,88,1,6.5,6.2,0.484,12,-7.20468999955109
"122",73.5,133,0,0.01,78,0,75.2,0,8,1.8213182714696,78,0.1,0.1,0.1,0.718,14.3,-3.50075834744689
"123",71.2,17,0,6.94,9,0,47.1,0,88,1.93585981320181,96,0.3,5.7,5.9,0.779,12.7,0.235156050418723
"124",75.3,1,1.38629436111989,1.39,98,2.83321334405622,61.2,1.38629436111989,98,2.07944154167984,98,0.1,6.5,6.4,0.723,14.6,-7.98764269332071
"125",75.8,16,2.77258872223978,1.45,97,5.83773044716594,66.1,2.94443897916644,97,1.85785927093258,97,0.1,4.9,4.8,0.764,14.5,-10.5850812078122
"126",66.3,215,1.94591014905531,2.9,99,0,48.6,2.07944154167984,99,1.30833281965018,99,0.1,3.3,3.3,0.688,10.8,-6.76291379405497
"127",62.3,291,4.20469261939097,0.01,78,6.17170059741091,18.5,4.54329478227,82,2.10657020906809,78,3.1,5.6,5.6,0.488,10,-6.39247424479645
"128",71.3,195,1.6094379124341,8.06,22,4.66343909411207,61.3,1.79175946922805,51,2.09186406167839,23,0.2,2.3,2.4,0.748,15.3,-7.66164243358536
"129",77,116,0,6.03,95,0,64,0,95,2.25967759198277,95,0.1,1.5,1.4,0.794,15.5,-5.39832643504857
"130",69.4,184,2.77258872223978,0.01,99,3.13549421592915,44.7,2.89037175789616,99,1.92278773163446,99,0.1,3,3.1,0.697,12.1,-4.98649517081814
"131",72,13,0,0.01,64,3.68887945411394,53.3,0,65,1.82454929205105,64,0.1,1.5,1.4,0.598,10.8,-4.52809109740144
"132",61.8,33,3.3322045101752,0.01,9,2.30258509299405,23.4,3.71357206670431,9,1.79009141212736,9,4.1,6.3,6.1,0.576,12.5,-4.81205176402813
"133",67,336,3.13549421592915,6.5,87,0,31.8,3.49650756146648,88,2.006870848845,87,6.2,5.6,5.5,0.507,10.3,-11.7975450062636
